kot	k o t̚ ˨˩
rɔːjlaʔ	r ɔː j ˦˥ l a ʔ ˦˥
raːn	r aː n ˦˥
rʉduː	r ɯ ˦˥ d uː ˧
rʉduːbajmajrawoŋ	r ɯ ˦˥ d uː ˧ b a j ˧ m aː j ˦˥ r u a̯ ŋ ˥˩
loŋt͡ɕʰɯːɔː	l o ŋ ˧ t͡ɕʰ ɯː ˥˩
loŋtuːa̯	l o ŋ ˧ t u a̯ ˧
lot	l o t̚ ˦˥
lomhaːjat͡ɕaj	l o m ˧ h aː j ˩˩˦ t͡ɕ a j ˧
lɔːttɤːriː	l ɔ t̚ ˦˥ t ɤː ˧ r iː ˥˩
lɔːndɔːn	l ɔ n ˧ d ɔ n ˧
laʔiːa̯t	l a ˦˥ ʔ i a̯ t̚ ˨˩
lamjaj	l a m ˧ j a j ˧
liːjoŋ	l iː ˧ j o ŋ ˧
lɯk	l ɯ k̚ ˦˥
lɯklab	l ɯ k̚ ˦˥ l a p̚ ˦˥
lun	l u n ˦˥
luːkpat	l uː k̚ ˥˩ p a t̚ ˨˩
luːksaːw	l uː k̚ ˥˩ s aː w ˩˩˦
luːksuːb	l uː k̚ ˥˩ s uː p̚ ˨˩
lom	l o m ˥˩
laʔ	l a ʔ ˥˩
lɔː	l ɔː ˦˥
laːn	l aː n ˦˥
wɔːn	w ɔː n ˧
watnatʰonrom	w a t̚ ˦˥ tʰ a ˦˥ n a ˦˥ tʰ a m ˧
wan	w a n ˧
wanniː	w a n ˧ n iː ˦˥
waj	w a j ˧
watduʔ	w a t̚ ˦˥ s a ˨˩ d u ʔ ˨˩
waːnsaːn	w aː ˧ r a ˦˥ s aː n ˩˩˦
waːw	w aː w ˧
wit͡ɕaj	w i ˦˥ t͡ɕ a j ˧
wit͡ɕiton	w i ˦˥ t͡ɕ i t̚ ˨˩
witkakaŋwon	w i ˦˥ t o k̚ ˨˩ k a ŋ ˧ w o n ˧
witjaː	w i t̚ ˦˥ tʰ a ˦˥ j aː ˧
witjaːsaːsot	w i t̚ ˦˥ tʰ a ˦˥ j aː ˧ s aː t̚ ˨˩
winaːtʰiː	w i ˦˥ n aː ˧ tʰ iː ˧
wikʰeːraːaʔ	w i ˦˥ kʰ r ɔ ʔ ˦˥
waː	w aː ˥˩
waːtʰiː	w aː ˥˩ tʰ iː ˥˩
waːn	w aː n ˥˩
sariːsakeːt	s iː ˩˩˦ s a ˨˩ k eː t̚ ˨˩
sakraːt	s a k̚ ˨˩ k a ˨˩ r aː t̚ ˨˩
sinpaʔ	s i n ˩˩˦ l a ˦˥ p a ʔ ˨˩
sinpin	s i n ˩˩˦ l a ˦˥ p i n ˧
sɯk	s ɯ k̚ ˨˩
sɯksaː	s ɯ k̚ ˨˩ s aː ˩˩˦
suk	s u k̚ ˨˩
suːn	s uː n ˩˩˦
sakunaː	s a ˨˩ k u ˨˩ n aː ˧
soŋkʰlaː	s o ŋ ˩˩˦ kʰ l aː ˩˩˦
soŋkʰraːmloːk	s o ŋ ˩˩˦ kʰ r aː m ˧ l oː k̚ ˥˩
sataːŋ	s a ˨˩ t aː ŋ ˧
satuːn	s a ˨˩ t uː n ˧
satʰaːnpʰaːp	s a ˨˩ tʰ aː ˩˩˦ n a ˦˥ pʰ aː p̚ ˥˩
sontʰiʔ	s o n ˩˩˦ tʰ i ʔ ˦˥
sanɔːŋ	s a ˨˩ n ɔː ŋ ˩˩˦
sanan	s a ˨˩ n a n ˨˩
sanaːmfajfaː	s a ˨˩ n aː m ˩˩˦ f a j ˧ f aː ˦˥
sanit	s a ˨˩ n i t̚ ˨˩
sapaː	s a ˨˩ p aː ˧
sapʰaːknaːt͡ɕaːn	s a ˨˩ pʰ aː ˧ kʰ a ˦˥ n aː ˧ t͡ɕ aː n ˧
samakrat͡ɕaj	s a ˨˩ m a k̚ ˨˩ t͡ɕ a j ˧
samutropraːkaːn	s a ˨˩ m u t̚ ˨˩ p r aː ˧ k aː n ˧
samutrasoŋkʰraːm	s a ˨˩ m u t̚ ˨˩ s o ŋ ˩˩˦ kʰ r aː m ˧
samutrasaːkʰon	s a ˨˩ m u t̚ ˨˩ s aː ˩˩˦ kʰ ɔː n ˧
samunpʰajraʔ	s a ˨˩ m u n ˩˩˦ pʰ r a j ˧
sarawaːjnam	s a ˨˩ w aː j ˥˩ n aː m ˦˥
sarakɛːw	s a ˨˩ k ɛː w ˥˩
sarup	s a ˨˩ r u p̚ ˨˩
saraːŋ	s aː ŋ ˥˩
saraːŋsaron	s aː ŋ ˥˩ s a n ˩˩˦
sawatdiː	s a ˨˩ w a t̚ ˨˩ d iː ˧
satʰaːn	s a ˨˩ tʰ aː n ˦˥
sapʰaːn	s a ˨˩ pʰ aː n ˧
saʔaːt	s a ˨˩ ʔ aː t̚ ˨˩
saŋkat	s a ŋ ˩˩˦ k a t̚ ˨˩
sajt͡ɕʰaːtiʔ	s a n ˩˩˦ t͡ɕʰ aː t̚ ˥˩
sat	s a t̚ ˨˩
santipʰaːp	s a n ˩˩˦ t i ˨˩ pʰ aː p̚ ˥˩
sampʰat	s a m ˩˩˦ pʰ a t̚ ˨˩
sampʰan	s a m ˩˩˦ pʰ a n ˧
samnak	s a m ˩˩˦ n a k̚ ˦˥
samnakŋaːn	s a m ˩˩˦ n a k̚ ˦˥ ŋ aː n ˧
samharab	s a m ˩˩˦ r a p̚ ˨˩
samneːaː	s a m ˩˩˦ n a w ˧
samniːa̯ŋ	s a m ˩˩˦ n i a̯ ŋ ˧
siŋhaːkʰom	s i ŋ ˩˩˦ h aː ˩˩˦ kʰ o m ˧
siŋ	s i ŋ ˩˩˦
siŋtoː	s i ŋ ˩˩˦ t oː ˧
sinkʰaː	s i n ˩˩˦ kʰ aː ˦˥
siː	s iː ˩˩˦
sɯːɔː	s ɯː ˨˩
sɯːɔːmwalat͡ɕʰon	s ɯː ˨˩ m u a̯ n ˧ t͡ɕʰ o n ˧
sukpʰaːp	s u k̚ ˨˩ kʰ a ˨˩ pʰ aː p̚ ˥˩
sukʰiː	s u ˨˩ kʰ iː ˩˩˦
sutrit	s u t̚ ˨˩ t͡ɕ a ˨˩ r i t̚ ˨˩
sut	s u t̚ ˨˩
supraronburiː	s u ˨˩ pʰ a n ˧ b u ˨˩ r iː ˧
suwraronpʰuːmiʔ	s u ˨˩ w a n ˧ n a ˦˥ pʰ uː m ˧
suːŋ	s uː ŋ ˩˩˦
suːton	s uː t̚ ˨˩
suː	s uː ˨˩
sapeːn	s a ˨˩ p eː n ˧
soŋ	s o ŋ ˨˩
soŋʔɔːk	s o ŋ ˨˩ ʔ ɔː k̚ ˨˩
hoŋ	h o ŋ ˩˩˦
hajuːa̯	j u a̯ ˩˩˦
hanun	n u n ˩˩˦
honwoŋ	n u a̯ ŋ ˨˩
honwoj	n u a̯ j ˨˩
hanaː	n aː ˥˩
hamak	m a k̚ ˨˩
hamaːk	m aː k̚ ˨˩
hamaːpaː	m aː ˩˩˦ p aː ˨˩
hamaːjleːk	m aː j ˩˩˦ l eː k̚ ˥˩
hamuːpaː	m uː ˩˩˦ p aː ˨˩
hamuː	m uː ˨˩
harɯːɔː	r ɯː ˩˩˦
halɔːt	l ɔː t̚ ˨˩
halak	l a k̚ ˨˩
halakkaːn	l a k̚ ˨˩ k aː n ˧
halaŋ	l a ŋ ˩˩˦
hawoŋ	h u a̯ ŋ ˩˩˦
hawan	w a n ˨˩
hɔːkaːnkʰaː	h ɔː ˩˩˦ k aː n ˧ kʰ aː ˦˥
hɔːpʰak	h ɔː ˩˩˦ pʰ a k̚ ˦˥
huːa̯rɔːn	h u a̯ ˩˩˦ r ɔː n ˦˥
huːa̯rɛːŋ	h u a̯ ˩˩˦ r ɛː ŋ ˦˥
haːjpaj	h aː j ˩˩˦ p a j ˧
haːrɯːɔː	h aː ˩˩˦ r ɯː ˧
hun	h u n ˥˩
hawoŋ	h u a̯ ŋ ˨˩
hɔːŋ	h ɔ ŋ ˥˩
hɔːŋnam	h ɔ ŋ ˥˩ n aː m ˦˥
haːŋsaronpʰasinkʰaː	h aː ŋ ˥˩ s a p̚ ˨˩ pʰ a ˦˥ s i n ˩˩˦ kʰ aː ˦˥
ɔːktajajuː	ʔ a ˨˩ k a ˨˩ t a n ˧ j uː ˧
ɔːŋ	ʔ o ŋ ˧
ɔːŋkon	ʔ o ŋ ˧ k ɔː n ˧
ɔːŋsaː	ʔ o ŋ ˧ s aː ˩˩˦
ɔːtʰitʰaːn	ʔ a ˨˩ tʰ i ˦˥ tʰ aː n ˩˩˦
ɔːbrom	ʔ o p̚ ˨˩ r o m ˧
ɔːpʰisitʰot	ʔ a ˨˩ pʰ i ˦˥ s i t̚ ˨˩
ɔːjutjaː	ʔ a ˨˩ j u t̚ ˦˥ tʰ a ˦˥ j aː ˧
ɔːjuː	j uː ˨˩
ɔːjaːŋ	j aː ŋ ˨˩
ɔːjaːŋraj	j aː ŋ ˨˩ r a j ˧
ɔːlatt͡ɕʰiː	ʔ a ˨˩ l a t̚ ˦˥ t͡ɕʰ iː ˧
ʔɔːk	ʔ ɔː k̚ ˨˩
ʔɔːnlaj	ʔ ɔː n ˧ l aː j ˧
ʔɔːtteːraliːa̯	ʔ ɔ s ˦˥ t r eː ˧ l i a̯ ˧
ʔajkʰajom	ʔ a n ˧ kʰ a ˨˩ j o m ˩˩˦
ʔatraː	ʔ a t̚ ˨˩ t r aː ˧
ʔandab	ʔ a n ˧ d a p̚ ˨˩
ʔampʰon	ʔ a m ˧ pʰ ɔː n ˧
ʔaːkʰaːn	ʔ aː ˧ kʰ aː n ˧
ʔaːt͡ɕaːn	ʔ aː ˧ t͡ɕ aː n ˧
ʔaːt͡ɕaːnhajjaʔ	ʔ aː ˧ t͡ɕ aː n ˧ j a j ˨˩
ʔaːtʰiʔ	ʔ aː ˧ tʰ i ʔ ˦˥
ʔaːj	ʔ aː j ˧
ʔaːhaːn	ʔ aː ˧ h aː n ˩˩˦
ɔːampʰɤː	ʔ a m ˧ pʰ ɤː ˧
ʔitaːliː	ʔ i ˨˩ t aː ˧ l iː ˥˩
ʔin	ʔ i n ˧
ʔindiːa̯	ʔ i n ˧ d i a̯ ˧
ʔindoːniːsiːa̯	ʔ i n ˧ d oː ˧ n iː ˧ s i a̯ ˧
ʔileːktrɔːn	ʔ i ˨˩ l e k̚ ˦˥ t r ɔ n ˧
ʔiːk	ʔ iː k̚ ˨˩
ʔiːjip	ʔ iː ˧ j i p̚ ˨˩
ʔɯːn	ʔ ɯː n ˨˩
ʔutratʰaːniː	ʔ u ˨˩ d ɔː n ˧ tʰ aː ˧ n iː ˧
ʔubon	ʔ u ˨˩ b o n ˧
ʔublaraːttʰaːniː	ʔ u ˨˩ b o n ˧ r aː t̚ ˥˩ t͡ɕʰ a ˦˥ tʰ aː ˧ n iː ˧
ʔum	ʔ u m ˥˩
ɔːsoːk	ʔ a ˨˩ s oː k̚ ˨˩
ɔːwom	ʔ u a̯ m ˨˩
ʔaːŋtʰɔːŋ	ʔ aː ŋ ˨˩ tʰ ɔː ŋ ˧
ʔaːn	ʔ aː n ˨˩
ɔːb	ʔ o p̚ ˦˥
hɔːnlɛːn	h ɔ n ˧ l ɛː n ˧
haːnɔːj	h aː ˧ n ɔː j ˧
hɔːŋkoŋ	h ɔ ŋ ˥˩ k o ŋ ˧
keːn	k eː n ˧
keːriːjŋakajraʔ	k r i a̯ ŋ ˧ k r a j ˧
keːndahimaʔ	k l e t̚ ˨˩ h i ˨˩ m a ʔ ˦˥
keːŋ	k e ŋ ˨˩
keːaː	k aː w ˥˩
kʰeːt	kʰ eː t̚ ˨˩
kʰeːt	kʰ e t̚ ˨˩
kʰeːm	kʰ e m ˩˩˦
kʰeːmkʰon	kʰ e m ˥˩ kʰ o n ˥˩
kʰeːmkʰɛːŋ	kʰ e m ˥˩ kʰ ɛ ŋ ˩˩˦
kʰeːaːtaː	kʰ a w ˥˩ t aː ˧
kʰeːron	kʰ r eː n ˧
kʰeːriːjot	kʰ r i a̯ t̚ ˥˩
kʰeːrɯːɔːŋdɯːm	kʰ r ɯ a̯ ŋ ˥˩ d ɯː m ˨˩
kʰeːrɯːɔːŋdɯːmat͡ɕʰuːkamlaŋ	kʰ r ɯ a̯ ŋ ˥˩ d ɯː m ˨˩ t͡ɕʰ uː ˧ k a m ˧ l a ŋ ˧
kʰeːrɯːɔːŋduːdafun	kʰ r ɯ a̯ ŋ ˥˩ d uː t̚ ˨˩ f u n ˨˩
kʰɯːa̯ŋt͡ɕaj	kʰ ɯ a̯ ŋ ˧ t͡ɕ a j ˧
kʰeːaː	kʰ a w ˦˥
ŋɤn	ŋ ɤ n ˧
ŋɤndɯːa̯n	ŋ ɤ n ˧ d ɯ a̯ n ˧
t͡ɕeːaːhjiŋanitraː	t͡ɕ a w ˥˩ j i ŋ ˩˩˦ n i t̚ ˦˥ tʰ r aː ˧
t͡ɕʰeːlim	t͡ɕʰ a ˨˩ l ɤː m ˩˩˦
t͡ɕʰɤj	t͡ɕʰ ɤː n ˧
t͡ɕʰiːa̯ŋhajmaʔ	t͡ɕʰ i a̯ ŋ ˧ m a j ˨˩
t͡ɕʰiːa̯	t͡ɕʰ i a̯ ˧
t͡ɕʰeːn	t͡ɕʰ e n ˥˩
seːn	s eː l ˧
dɤn	d ɤː n ˧
dɯːa̯t	d ɯ a̯ t̚ ˨˩
dɯːa̯n	d ɯ a̯ n ˧
tiːa̯ŋ	t i a̯ ŋ ˧
tɯːa̯n	t ɯ a̯ n ˧
teːaː	t a w ˩˩˦
tʰeːtkaːn	tʰ eː t̚ ˥˩ s a ˨˩ k aː n ˧
tʰeːaːkab	tʰ a w ˥˩ k a p̚ ˨˩
tʰeːaːnan	tʰ a w ˥˩ n a n ˦˥
niːa̯	n i a̯ ˥˩
nɯːa̯ŋt͡ɕaːk	n ɯ a̯ ŋ ˥˩ t͡ɕ aː k̚ ˨˩
nɯːa̯tʰiː	n ɯ a̯ ˦˥ tʰ iː ˥˩
neːt	n e t̚ ˨˩
neːn	n e n ˦˥
beːjt͡ɕapʰeːt	b e n ˧ t͡ɕ a ˨˩ pʰ eː t̚ ˥˩
beːnjiːa̯m	b eː l ˧ j i a̯ m ˥˩
bɤn	b ɤː n ˧
bɤn	b ɤ n ˥˩
biːa̯	b i a̯ ˧
bɯːa̯	b ɯ a̯ ˨˩
peːruː	p eː ˧ r uː ˧
peːlɯːɔːkmaj	p l ɯ a̯ k̚ ˨˩ m aː j ˦˥
peːlaː	p l aː w ˨˩
pɤːseːn	p ɤː ˧ s e n ˧
pɤt	p ɤː t̚ ˨˩
pɤtpʰeːj	p ɤː t̚ ˨˩ pʰ ɤː j ˩˩˦
peːnton	p e n ˧ t o n ˥˩
peːaːhmaːj	p a w ˥˩ m aː j ˩˩˦
pʰeːj	pʰ ɤː j ˩˩˦
pʰeːraːaʔ	pʰ r ɔ ʔ ˦˥
pʰeːraːat͡ɕʰanan	pʰ r ɔ ʔ ˦˥ t͡ɕʰ a ˨˩ n a n ˦˥
pʰeːtt͡ɕʰaːj	pʰ eː t̚ ˥˩ t͡ɕʰ aː j ˧
fɤm	f ɤː m ˧
meːton	m eː t̚ ˦˥
mɯːa̯ŋnɔːk	m ɯ a̯ ŋ ˧ n ɔː k̚ ˥˩
mɯːa̯	m ɯ a̯ ˥˩
meːt	m e t̚ ˦˥
jɤːnman	j ɤː ˧ r a ˦˥ m a n ˧
jɯːa̯n	j ɯ a̯ n ˧
riːa̯k	r i a̯ k̚ ˥˩
riːa̯kwaː	r i a̯ k̚ ˥˩ w aː ˥˩
rɯːa̯	r ɯ a̯ ˧
rɯːa̯ŋ	r ɯ a̯ ŋ ˥˩
lɤtlɤː	l ɤː t̚ ˥˩ l ɤː ˧
leːn	l e n ˥˩
leːm	l e m ˥˩
weːtʰiː	w eː ˧ tʰ iː ˧
weːlaː	w eː ˧ l aː ˧
wiːa̯tnaːm	w i a̯ t̚ ˥˩ n aː m ˧
siːa̯t͡ɕʰiːwit	s i a̯ ˩˩˦ t͡ɕʰ iː ˧ w i t̚ ˦˥
siːa̯ŋ	s i a̯ ŋ ˨˩
sɯːa̯pʰaː	s ɯ a̯ ˥˩ pʰ aː ˥˩
sɯːa̯t͡ɕʰɤt	s ɯ a̯ ˥˩ t͡ɕʰ ɤː t̚ ˦˥
sɯːa̯dɛːŋ	s ɯ a̯ ˥˩ d ɛː ŋ ˧
seːn	s e n ˥˩
seːntʰaːŋ	s e n ˥˩ tʰ aː ŋ ˧
heːtuʔ	h eː t̚ ˨˩
heːnob	n e p̚ ˨˩
heːmaːaʔ	m ɔ ʔ ˨˩
ʔeː	ʔ eː ˧
ʔeːkmaj	ʔ eː k̚ ˨˩ k a ˨˩ m a j ˧
ʔeːt	ʔ e t̚ ˨˩
heː	h eː ˧
heːŋ	h e ŋ ˧
kɛː	k ɛː ˧
kɛːroŋ	k r ɛ ŋ ˨˩
kɛʔ	k ɛ ʔ ˨˩
kɛː	k ɛː ˥˩
kʰɛːnaːdaː	kʰ ɛː ˧ n aː ˧ d aː ˧
t͡ɕɛːkan	t͡ɕ ɛː ˧ k a n ˧
t͡ɕɛːŋ	t͡ɕ ɛː ŋ ˧
t͡ɕɛːmsaj	t͡ɕ ɛ m ˨˩ s a j ˩˩˦
t͡ɕɛːŋ	t͡ɕ ɛː ŋ ˥˩
sɛːŋ	s ɛː ŋ ˧
dɛːŋ	d ɛː ŋ ˧
tɛːŋkwaː	t ɛː ŋ ˧ k w aː ˧
tɛː	t ɛː ˨˩
tɛːm	t ɛː m ˥˩
tʰɛːm	tʰ ɛː m ˩˩˦
tʰɛːn	tʰ ɛː n ˧
tʰɛːksiː	tʰ ɛ k̚ ˦˥ s iː ˥˩
tʰɛːn	tʰ ɛ n ˥˩
nɛːn	n ɛ n ˥˩
nɛːnɔːn	n ɛː ˥˩ n ɔː n ˧
bɛːŋ	b ɛ ŋ ˦˥
bɛːb	b ɛː p̚ ˨˩
pɛːn	p l ɛː ˧
pɛːŋ	p ɛː ŋ ˥˩
pʰɛːntʰiː	pʰ ɛː n ˩˩˦ tʰ iː ˥˩
pʰɛːŋ	pʰ ɛː ŋ ˧
pʰɛːt	pʰ ɛː t̚ ˥˩
pʰɛːn	pʰ r ɛː ˧
fɛːnkʰlab	f ɛː n ˧ kʰ l a p̚ ˨˩
mɛː	m ɛː ˥˩
mɛːhɔːŋsɔːn	m ɛː ˥˩ h ɔ ŋ ˥˩ s ɔː n ˩˩˦
jɛːk	j ɛː k̚ ˥˩
jɛː	j ɛː ˦˥
rɛːŋŋaːn	r ɛː ŋ ˧ ŋ aː n ˧
lɛʔ	l ɛ ʔ ˦˥
lɛːw	l ɛː w ˦˥
lɛːwseːrot	l ɛː w ˦˥ s e t̚ ˨˩
sɛːŋ	s ɛː ŋ ˩˩˦
sɛːŋdɛːt	s ɛː ŋ ˩˩˦ d ɛː t̚ ˨˩
sɛːn	s ɛː n ˩˩˦
hɛːŋ	h ɛ ŋ ˨˩
kʰoː	kʰ oː ˧
kʰoːmfaj	kʰ oː m ˧ f a j ˧
kʰoːnŋakaːn	kʰ r oː ŋ ˧ k aː n ˧
kʰoːraːt	kʰ oː ˧ r aː t̚ ˥˩
kʰoːlɔːmbiːa̯	kʰ oː ˧ l ɔ m ˧ b i a̯ ˧
kʰoːpeːnheːkeːn	kʰ oː ˧ p eː n ˧ h eː ˧ k e n ˥˩
soːfaː	s oː ˧ f aː ˧
doːn	d oː n ˧
doːnat	d oː ˧ n a t̚ ˦˥
doːj	d oː j ˧
doːjsaːn	d oː j ˧ s aː n ˩˩˦
toː	t oː ˥˩
tʰoːnsap	tʰ oː ˧ r a ˦˥ s a p̚ ˨˩
boːt	b oː t̚ ˨˩
poːnkɛːrom	p r oː ˧ k r ɛ m ˧
poːnmoːt͡ɕʰan	p r oː ˧ m oː ˧ t͡ɕʰ a n ˥˩
moːpʰeːt	m oː ˧ pʰ e t̚ ˨˩
roːŋŋaːn	r oː ŋ ˧ ŋ aː n ˧
roːŋbaːn	r oː ŋ ˧ b aː n ˧
roːŋpʰajaːbaːn	r oː ŋ ˧ pʰ a ˦˥ j aː ˧ b aː n ˧
roːŋrɛːm	r oː ŋ ˧ r ɛː m ˧
roːm	r oː m ˧
loːk	l oː k̚ ˥˩
loːpʰaʔ	l oː ˧ pʰ a ʔ ˦˥
woː	w oː ˧
soːt	s oː t̚ ˨˩
kajlaʔ	k l a j ˥˩
kʰajraʔ	kʰ r a j ˧
t͡ɕajdiː	t͡ɕ a j ˧ d iː ˧
t͡ɕʰaj	t͡ɕʰ a j ˦˥
daj	d a j ˧
najhonwoŋ	n a j ˧ l u a̯ ŋ ˩˩˦
baj	b a j ˧
saj	s a j ˨˩
hajjaʔ	j a j ˨˩
hajmaʔ	m a j ˨˩
haj	h a j ˥˩
kajŋawoŋ	k a j ˨˩ ŋ u a̯ ŋ ˧
daj	d aː j ˥˩
tʰajlɛːn	tʰ a j ˧ l ɛː n ˧
pʰaj	pʰ a j ˨˩
fajt͡ɕʰaːj	f a j ˧ t͡ɕʰ aː j ˩˩˦
faj	f aː j ˧
majt͡ɕʰaj	m a j ˥˩ t͡ɕʰ a j ˥˩
majkwaːt	m aː j ˦˥ k w aː t̚ ˨˩
waj	w a j ˧
saj	s a j ˩˩˦
ʔaj	ʔ a j ˧
ʔajlɛːnheːnɯːɔː	ʔ a j ˧ l ɛː n ˧ n ɯ a̯ ˩˩˦
ʔajdiːa̯	ʔ a j ˧ d i a̯ ˧
haj	h a j ˦˥
